ARP Items v1.3
By : Havena & Raztoux

Weapons N= Normale, M= Militaire, S= Secret

=====
v1.0
"ARP_babywipes"		n Couche culottes
"ARP_goldwatch"		n Montre en or
"ARP_laptop"		n PC portable
"ARP_mezzo"		n mezzo mix
"ARP_pepsi"		n pepsi
"ARP_pineapples"	n Ananas en conserve
"ARP_socks_black_dirty"	nm Chaussettes noir sale
"ARP_socks_green_dirty"	nm Chaussettes verte sale
"ARP_soup"		n Canette de soupe
"ARP_spaghettios"	n Boite de Spaghetti
"ARP_suitcase_black"	s Malette noire
"ARP_suitcase_silver"	s Malette en metal
"ARP_tablet"		n IPad
"ARP_tanboxer_dirty"	nm Slip sale
"ARP_tanshirt_dirty"	nm T-shirt sale
"ARP_tuna"		n Boite de thon
"ARP_zippo"		n zippo

v1.2
"ARP_airfilter"		n Filtre a air
"ARP_basketball"	n Ballon de basket
"ARP_cellphone"		n Cellulaire
"ARP_chucks"		n Converse
"ARP_clutch_disk"	n Embrayage
"ARP_clutch_pressureplate" n Plateau d'embrayage
"ARP_coldairintake"	n Durite
"ARP_electricaltape"	n Scotch electrique
"ARP_fanbelt"		n Courroie
"ARP_flywheel"		n Volant d'inertie
"ARP_gamecontroller" 	n Manette de jeu
"ARP_headlamp"		nm Lampe frontale
"ARP_knife"		n Couteau
"ARP_knife_combat"	sm Couteau de combat
"ARP_leaflet_psyop"	nsm Propagande
"ARP_leaflet_wanted"	nsm Avis de recherche
"ARP_licenseplate_afghan" n Plaque d'immatriculation afghane
"ARP_m16_bolt" 		sm Levier de M16
"ARP_m16_lower_receiver" sm Crosse de M16
"ARP_m16_upper_receiver" sm Canon de M16
"ARP_piston"		n piston
"ARP_sleepingbag"	nm Sac de couchage
"ARP_solderingiron" 	s Fer a souder
"ARP_spoon"		n Cuillère
"ARP_steeringwheel"	n Volant
"ARP_thermos" 		n thermos
"ARP_valvesprings"	n Ressort pour moteur
"ARP_wirecutter"	sm Pince coupante

v1.3
"ARP_toleondule"	n Tole ondulee	
